dim,model,accuracy,precision,recall,f1,auc
10,svm,0.7519999999999999,0.8162528647822764,0.8736842105263157,0.8410244532677884,0.8412280701754387
10,random_forest,0.8960000000000001,0.8916199589883801,0.9842105263157894,0.9350839340377209,0.9245614035087721
10,logic_regression,0.868,0.9104355544658749,0.9210526315789472,0.9136683184051606,0.9263157894736842
10,knn,0.784,0.8069955768868814,0.9421052631578949,0.8684720101226058,0.7855263157894736
10,mlp,0.8240000000000001,0.8664580248575403,0.9105263157894736,0.8867312512049355,0.7324561403508772
15,svm,0.9200000000000002,0.906060606060606,1.0,0.9503658536585367,0.9991228070175439
15,random_forest,0.9280000000000002,0.9197801321485531,0.9947368421052631,0.9550933149007603,0.9903508771929825
15,logic_regression,0.968,0.9804761904761905,0.9789473684210528,0.9789108339108339,0.9964912280701753
15,knn,0.976,0.9704761904761906,1.0,0.9847435897435897,0.9732456140350877
15,mlp,0.984,0.9899999999999999,0.9894736842105264,0.9894663894663894,0.9991228070175439
25,svm,0.9199999999999999,0.9068294748729532,1.0,0.9505950147413562,0.9956140350877194
25,random_forest,0.9359999999999999,0.9237445887445889,1.0,0.9599906191369605,0.9907894736842107
25,logic_regression,0.968,0.9704761904761904,0.9894736842105264,0.9793381843381843,1.0
25,knn,0.984,0.9804761904761905,1.0,0.9898717948717948,0.9916666666666668
25,mlp,0.9640000000000001,0.9694736842105265,0.9842105263157895,0.9765145712514134,0.9903508771929823
40,svm,0.9200000000000002,0.9064718614718614,1.0,0.9504846779237024,0.9947368421052631
40,random_forest,0.9760000000000002,0.97,1.0,0.9846153846153847,1.0
40,logic_regression,0.984,0.9852130325814537,0.9947368421052631,0.9897368421052632,0.9973684210526315
40,knn,0.9600000000000002,0.9504761904761905,1.0,0.9744871794871794,0.9807017543859649
40,mlp,0.9640000000000001,0.9794736842105263,0.9736842105263157,0.9760872208240631,0.9956140350877192
60,svm,0.932,0.920812158855637,1.0,0.9580215313142142,0.9956140350877194
60,random_forest,0.952,0.9419047619047619,1.0,0.9697435897435897,1.0
60,logic_regression,0.9960000000000001,1.0,0.9947368421052631,0.9972972972972973,1.0
60,knn,0.9480000000000001,0.9369047619047619,1.0,0.9671794871794871,0.9666666666666668
60,mlp,0.968,0.979593837535014,0.9789473684210528,0.9786220836220837,0.993859649122807
100,svm,0.944,0.9336796536796536,1.0,0.9651094434021263,0.9991228070175439
100,random_forest,0.9440000000000002,0.931904761904762,1.0,0.9646153846153845,1.0
100,logic_regression,0.9719999999999999,0.9654761904761905,1.0,0.9821794871794871,0.9982456140350877
100,knn,0.9719999999999999,0.9654761904761905,1.0,0.9821794871794871,0.975
100,mlp,0.96,0.9763636363636363,0.9736842105263157,0.9738910580373995,0.994736842105263
