sample_id	status
S01_B14	cancer
S02_B14	cancer
S03_B14	cancer
S04_B14	cancer
S05_B14	cancer
S06_B14	cancer
S07_B14	cancer
S08_B14	cancer
S09_B14	cancer
S10_B14	cancer
S11_B14	cancer
S12_B14	cancer
S13_B14	cancer
S14_B14	cancer
S15_B14	cancer
S16_B14	cancer
S17_B14	cancer
S18_B14	cancer
S19_B14	cancer
S20_B14	cancer
S21_B14	cancer
S22_B14	cancer
S23_B14	cancer
S24_B14	cancer
S25_B14	cancer
S26_B14	cancer
S27_B14	cancer
S28_B14	cancer
S29_B14	cancer
S30_B14	cancer
S31_B14	cancer
S32_B14	cancer
S33_B14	cancer
S34_B14	cancer
S35_B14	cancer
S36_B14	cancer
S37_B14	cancer
S38_B14	cancer
S39_B14	cancer
S40_B14	cancer
S41_B14	cancer
S42_B14	cancer
S43_B14	cancer
S44_B14	cancer
S45_B14	cancer
S46_B14	cancer
S47_B14	cancer
S48_B14	cancer
S49_B14	cancer
S50_B14	cancer
S51_B14	cancer
S52_B14	cancer
S53_B14	cancer
S54_B14	cancer
S55_B14	cancer
S56_B14	cancer
S57_B14	cancer
S58_B14	cancer
S59_B14	cancer
S60_B14	cancer
S61_B14	cancer
S62_B14	cancer
S63_B14	cancer
S64_B14	cancer
S65_B14	cancer
S66_B14	cancer
S67_B14	cancer
S68_B14	cancer
S69_B14	cancer
S70_B14	cancer
S71_B14	cancer
S72_B14	cancer
S73_B14	cancer
S74_B14	cancer
S75_B14	cancer
S76_B14	cancer
S77_B14	cancer
S78_B14	cancer
S79_B14	cancer
S80_B14	cancer
S81_B14	cancer
S82_B14	cancer
S83_B14	cancer
S84_B14	cancer
S85_B14	cancer
S86_B14	cancer
S87_B14	cancer
S88_B14	cancer
S89_B14	cancer
S90_B14	cancer
S91_B14	cancer
S92_B14	cancer
S93_B14	cancer
S94_B14	cancer
S95_B14	cancer
S96_B14	cancer
N1	normal
N2	normal
N3	normal
N4	normal
N5	normal
N6	normal
N7	normal
N8	normal
N9	normal
N10	normal
N11	normal
N12	normal
N13	normal
N14	normal
N15	normal
N16	normal
N17	normal
N18	normal
N19	normal
N20	normal
N21	normal
N22	normal
N23	normal
N24	normal
N25	normal
N26	normal
N27	normal
N28	normal
N29	normal
N30	normal
N31	normal
N32	normal
